@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute classification {0,1,2,3,4,5}
@attribute regression numeric

@data
431,'2017/02/12 13:20:00:773',2,-160.961975,-173.022827,1692.582642,184.51297,-234.279587,1742.376953,-82.298347,446.149719,1807.553711,3,?
432,'2017/02/12 13:20:00:775',2,-160.961975,-173.022827,1692.582642,184.51297,-234.279587,1742.376953,-82.298347,446.149719,1807.553711,3,?
433,'2017/02/12 13:20:00:786',2,-160.961975,-173.022827,1692.582642,184.51297,-234.279587,1742.376953,-82.298347,446.149719,1807.553711,3,?
434,'2017/02/12 13:20:00:835',2,-158.799362,-172.900742,1664.628296,170.1436,-241.767792,1739.761841,-89.242096,451.077759,1770.409668,3,?
435,'2017/02/12 13:20:00:869',2,-163.912979,-180.074875,1644.115601,162.744843,-259.996887,1737.413696,-95.271461,454.828491,1740.834595,3,?
436,'2017/02/12 13:20:00:903',2,-174.767639,-191.139282,1626.668701,157.520355,-244.726532,1734.023926,-98.654793,457.678711,1717.541138,3,?
437,'2017/02/12 13:20:00:936',2,-186.145447,-197.585037,1612.554077,151.97113,-223.442993,1732.608765,-101.807587,458.233826,1699.340576,3,?
438,'2017/02/12 13:20:00:970',2,-191.145981,-203.901688,1596.471436,152.186142,-221.960526,1725.317505,-102.470703,458.217133,1678.773926,3,?
439,'2017/02/12 13:20:01:003',2,-194.14209,-206.969208,1584.55835,147.759598,-222.914001,1712.938232,-102.268585,462.76709,1665.010742,3,?
440,'2017/02/12 13:20:01:036',2,-211.173523,-184.171494,1586.798462,145.122238,-217.2155,1705.650635,-101.627892,463.049164,1650.623047,3,?
441,'2017/02/12 13:20:01:069',2,-267.59375,-171.807907,1530.457764,145.39418,-208.424698,1699.211914,-102.752769,466.091675,1637.918457,3,?
442,'2017/02/12 13:20:01:103',2,-301.782379,-158.837585,1497.694946,143.215485,-205.397705,1691.181763,-103.392006,467.999207,1626.084351,3,?
443,'2017/02/12 13:20:01:136',2,-316.296265,-150.912903,1469.629883,142.45163,-204.508179,1684.160645,-100.613441,465.121033,1614.645752,3,?
444,'2017/02/12 13:20:01:169',2,-324.348389,-140.401505,1447.701538,143.844757,-207.036453,1676.855835,-98.335068,464.538055,1604.957886,3,?
445,'2017/02/12 13:20:01:204',2,-327.11261,-133.566788,1434.008667,147.735336,-204.582321,1670.550049,-96.172348,469.128662,1597.127563,3,?
